"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "PostCSS", "Markdown", "TypeScript JSX", "XML", "HTML", "comment", "blank", "total"
"c:\Users\barte\Desktop\PartsVision\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 14, 74
"c:\Users\barte\Desktop\PartsVision\frontend\eslint.config.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\barte\Desktop\PartsVision\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\barte\Desktop\PartsVision\frontend\package-lock.json", "JSON", 0, 3901, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3902
"c:\Users\barte\Desktop\PartsVision\frontend\package.json", "JSON", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36
"c:\Users\barte\Desktop\PartsVision\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\barte\Desktop\PartsVision\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\barte\Desktop\PartsVision\frontend\src\components\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"c:\Users\barte\Desktop\PartsVision\frontend\src\components\layout\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\barte\Desktop\PartsVision\frontend\src\components\layout\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\barte\Desktop\PartsVision\frontend\src\components\ui\FeatureCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\barte\Desktop\PartsVision\frontend\src\config\api.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\barte\Desktop\PartsVision\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\barte\Desktop\PartsVision\frontend\src\layout\RootLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\barte\Desktop\PartsVision\frontend\src\layout\WorkshopLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 6, 41
"c:\Users\barte\Desktop\PartsVision\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 0, 13, 18, 102
"c:\Users\barte\Desktop\PartsVision\frontend\src\pages\Landing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 10, 76
"c:\Users\barte\Desktop\PartsVision\frontend\src\pages\auth\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 14, 65
"c:\Users\barte\Desktop\PartsVision\frontend\src\pages\auth\Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 15, 84
"c:\Users\barte\Desktop\PartsVision\frontend\src\pages\setup\Setup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 5, 8, 62
